LSHM,' USHM',' Momento1',' Momento2',' Momento3',' Momento4',' Cumulante1',' Cumulante2',' Cumulante3',' Cumulante4',' Cumulante6',' Skewness',' Kurtosis',' Axm',' Xp',' xr',' FactorCresta',' FactorForma',' Condition'
0.293578,0.518053,0.116527,0.600187,0.965257,0.236026,0.116527,0.599105,0.496219,0.770102,0.973133,0.747658,0.985233,0.765649,0.749826,0.009659,0.96288,0.988246,' R2'
0.378906,0.619862,0.113789,0.571035,0.978899,0.194238,0.113789,0.569875,0.538295,0.811903,0.981267,0.748821,0.9881,0.746884,0.734761,0.744163,0.967583,0.987851,' R2'
0.427194,0.585823,0.116607,0.52762,0.974184,0.134662,0.116607,0.526344,0.527122,0.869723,0.008175,0.748557,0.990681,0.717886,0.700037,0.716158,0.959262,0.000691,' R2'
0.490527,0.498188,0.114645,0.501487,0.977091,0.101229,0.114645,0.003669,0.550083,0.902815,0.99277,0.748937,0.993548,0.699388,0.682168,0.697714,0.958973,0.987851,' R2'
0.482067,0.47398,0.116029,0.481512,0.969252,0.076217,0.116029,0.480113,0.539275,0.926605,0.992975,0.748203,0.994409,0.684867,0.667797,0.683007,0.005355,0.988345,' R2'
0.55494,0.508672,0.112315,0.453833,0.977264,0.043239,0.112315,0.45236,0.576662,0.958248,0.989237,0.749194,0.996272,0.662348,0.6409,0.657137,0.004269,0.991999,' R2'
0.711474,0.65341,0.117625,0.436728,0.965079,0.02324,0.117625,0.43521,0.539582,0.97649,0.983526,0.747828,0.995627,0.648273,0.630883,0.641072,0.950579,0.994172,' R2'
0.551501,0.466416,0.145731,0.813264,0.974274,0.601195,0.145731,0.812706,0.162511,0.408001,0.943924,0.747995,0.974122,0.892587,0.024841,0.884095,0.967366,0.989727,' R2'
0.461309,0.492379,0.145923,0.035324,0.95302,0.5588,0.145923,0.790888,0.15182,0.449292,0.945074,0.746898,0.974337,0.880524,0.865805,0.020725,0.966136,0.000889,' R2'
0.485327,0.582003,0.144043,0.750201,0.975309,0.481891,0.144043,0.749474,0.218012,0.525387,0.948731,0.748137,0.975771,0.856798,0.844677,0.018395,0.968669,0.000889,' R2'
0.617424,0.532292,0.143174,0.028393,0.95316,0.432374,0.143174,0.721393,0.218963,0.575222,0.953291,0.74685,0.977491,0.840177,0.82873,0.832888,0.00644,0.98953,' R2'
0.377532,0.477852,0.142775,0.686572,0.969236,0.370604,0.142775,0.685676,0.260541,0.634738,0.955509,0.747855,0.977706,0.819266,0.812624,0.812309,0.974891,0.988937,' R2'
0.463133,0.658363,0.140828,0.667564,0.970832,0.339938,0.140828,0.666617,0.288957,0.666398,0.961466,0.747984,0.979857,0.807739,0.802206,0.801728,0.007164,0.988838,' R2'
0.286375,0.467754,0.14175,0.626454,0.962879,0.274151,0.14175,0.625397,0.297147,0.729898,0.963109,0.747463,0.980573,0.782315,0.014878,0.777023,0.97945,0.988542,' R2'
0.000123,0.179786,0.137987,0.626751,0.981537,0.275248,0.137987,0.625695,0.344897,0.730063,0.965163,0.748831,0.002509,0.782181,0.014397,0.776877,0.973082,0.988937,' R2'
0.162225,0.296347,0.140346,0.594684,0.972297,0.226912,0.140346,0.593558,0.335625,0.777313,0.969312,0.748218,0.002652,0.761807,0.758828,0.756977,0.007453,0.988641,' R2'
0.229647,0.411345,0.141111,0.545513,0.964009,0.157969,0.141111,0.544255,0.349635,0.845901,0.981678,0.747596,0.003082,0.729815,0.721459,0.72737,0.972214,0.987851,' R2'
0.426565,0.50266,0.139515,0.515111,0.969452,0.118426,0.139515,0.513757,0.382848,0.885907,0.988785,0.748144,0.003513,0.708413,0.006811,0.70548,0.96903,0.988641,' R2'
0.44379,0.425124,0.142975,0.482851,0.952458,0.077584,0.142975,0.481411,0.362461,0.924959,0.991989,0.746436,0.993405,0.685984,0.672258,0.683881,0.005861,0.988147,' R2'
0.470356,0.533811,0.137084,0.463203,0.971045,0.054513,0.137084,0.461711,0.427249,0.948189,0.997206,0.748451,0.996703,0.67106,0.65511,0.668543,0.958394,0.989234,' R2'
0.415788,0.650222,0.14282,0,0.95834,0.025586,0.14282,0.436701,0.396083,0.975617,0.999918,0.747018,0.997993,0.652786,0.638148,0.650682,0.959768,0.989036,' R2'
0.476678,0.715477,0.137393,0.422614,0.972096,0.008439,0.137393,0.421028,0.448265,0.992311,1,0.748734,1,0.639694,0.621668,0.636072,0.952098,0.99111,' R2'
0.498841,0.480409,0.135491,0.414983,0.973922,0,0.135491,0.413377,0.464045,1,0.995152,0.749005,0.999857,0.632233,0.619397,0.626317,0.957236,0.993678,' R2'
